epoch,train_loss,val_loss,val_mIoU,val_R@1_IoU_0.3,val_R@1_IoU_0.5,val_R@1_IoU_0.7,val_mAP_proxy
1,6.293344063143576,5.968019665815891,0.34905691578602177,0.5120192307692307,0.2299679487179487,0.11738782051282051,0.2864583333333333
2,5.941964476339279,5.896714931879288,0.35974006173320305,0.5424679487179487,0.25801282051282054,0.1282051282051282,0.30956196581196577
3,5.746790861314343,5.639430972246023,0.39701028378346026,0.592948717948718,0.3529647435897436,0.1842948717948718,0.37673611111111116
4,5.595066731975924,5.635623577313545,0.39938826753925055,0.5873397435897436,0.3545673076923077,0.19431089743589744,0.3787393162393162
5,5.440259558923783,5.575838703375596,0.4214129649484769,0.6213942307692307,0.39823717948717946,0.22556089743589744,0.4150641025641025
6,5.307018006617023,5.550547471413245,0.40994339016003484,0.6077724358974359,0.38982371794871795,0.2171474358974359,0.40491452991453
7,5.186371487571347,5.449969148024534,0.43222459023579574,0.6378205128205128,0.42908653846153844,0.2467948717948718,0.43790064102564097
8,5.044442942450123,5.508746538406763,0.43965661105437154,0.639823717948718,0.44350961538461536,0.2568108974358974,0.44671474358974356
9,4.891626027322585,5.584071859335288,0.4385955883906438,0.6434294871794872,0.4583333333333333,0.2532051282051282,0.4516559829059829
10,4.756198130884478,5.555951908612863,0.44158403690044695,0.6526442307692307,0.4579326923076923,0.26802884615384615,0.4595352564102564
11,4.606352892998726,5.662181401864077,0.4496595956958257,0.6594551282051282,0.47155448717948717,0.2780448717948718,0.46968482905982906
12,4.464787242489477,5.6738071365234175,0.4444610249155607,0.6590544871794872,0.45713141025641024,0.26161858974358976,0.4592681623931624
13,4.323262789941603,5.826123422537094,0.4398285993971886,0.6438301282051282,0.46794871794871795,0.2748397435897436,0.4622061965811966
14,4.149068157519063,5.948170631359785,0.44538086156050366,0.6602564102564102,0.4699519230769231,0.26802884615384615,0.4660790598290598
15,4.040519412486784,6.066391776769589,0.4375311964406417,0.6438301282051282,0.46274038461538464,0.27003205128205127,0.45886752136752135
16,3.898712283949698,5.907749704825572,0.44196785843143094,0.6482371794871795,0.46073717948717946,0.27363782051282054,0.4608707264957265
17,3.7522733622981654,6.378538014032902,0.4457420901610301,0.6550480769230769,0.4719551282051282,0.280849358974359,0.46928418803418803
18,3.6413588958401832,6.231848744245676,0.43781342930518663,0.6390224358974359,0.4703525641025641,0.26963141025641024,0.4596688034188034
19,3.496710418308935,6.802649604968535,0.44129930417507124,0.6382211538461539,0.47876602564102566,0.27403846153846156,0.46367521367521364
20,3.373040691114241,6.726443599431943,0.434404184229863,0.6342147435897436,0.45873397435897434,0.27884615384615385,0.45726495726495725
21,3.26168952353539,6.553954520286658,0.4340011559617825,0.6374198717948718,0.4599358974358974,0.26963141025641024,0.4556623931623931
22,3.1583891941655065,6.966091852921706,0.43505893628566694,0.6338141025641025,0.46594551282051283,0.2748397435897436,0.45819978632478636
23,3.038448623495717,7.05164540425325,0.4289118276956754,0.625,0.45552884615384615,0.26282051282051283,0.4477831196581197
24,2.935867707383248,7.219743924263196,0.43011148168872565,0.6278044871794872,0.452724358974359,0.2604166666666667,0.4469818376068377
25,2.816273990561885,7.473639998680506,0.42218163943825626,0.6149839743589743,0.4547275641025641,0.25600961538461536,0.44190705128205127
26,2.7288245993275795,7.4235446605926905,0.43610614901169753,0.6326121794871795,0.4703525641025641,0.2760416666666667,0.45966880341880345
27,2.6481952505726967,7.762960635698759,0.430024724931289,0.6217948717948718,0.46153846153846156,0.26842948717948717,0.4505876068376069
28,2.550751626876093,7.941351410670158,0.43234783258193576,0.6390224358974359,0.4671474358974359,0.26282051282051283,0.4563301282051282
29,2.451464093885114,7.761295071014991,0.42990992218255997,0.6302083333333334,0.46153846153846156,0.25761217948717946,0.4497863247863248
30,2.3915715425245225,7.807492635188958,0.4323663202424844,0.6374198717948718,0.4579326923076923,0.2644230769230769,0.453258547008547
31,2.269289133144963,8.637280635344677,0.4296954211134177,0.624198717948718,0.46153846153846156,0.2704326923076923,0.45205662393162394
